CMDLINE /usr/bin/python3 main.py
MEM 1323.273438 1736311816.3152
MEM 1323.398438 1736311816.4155
MEM 1323.398438 1736311816.5158
MEM 1323.398438 1736311816.6161
MEM 1324.273438 1736311816.7164
MEM 1721.523438 1736311816.8189
MEM 1721.523438 1736311816.9206
MEM 2480.523438 1736311817.0218
MEM 1777.394531 1736311817.1223
MEM 2074.410156 1736311817.2236
MEM 2883.160156 1736311817.3249
MEM 1324.539062 1736311817.4253
MEM 1324.539062 1736311817.5256
MEM 1340.664062 1736311817.6259
MEM 1340.789062 1736311817.7262
MEM 1357.539062 1736311817.8266
MEM 1360.039062 1736311817.9269
MEM 1361.789062 1736311818.0272
MEM 1376.789062 1736311818.1275
MEM 1376.789062 1736311818.2280
MEM 1376.789062 1736311818.3283
MEM 1376.789062 1736311818.4286
MEM 1377.914062 1736311818.5289
MEM 1774.789062 1736311818.6312
MEM 1782.289062 1736311818.7322
MEM 2265.675781 1736311818.8327
MEM 1969.722656 1736311818.9338
MEM 2299.003906 1736311819.0352
MEM 2864.128906 1736311819.1371
MEM 1623.687500 1736311819.2376
MEM 1378.257812 1736311819.3380
MEM 1394.257812 1736311819.4383
MEM 1394.882812 1736311819.5386
MEM 1411.257812 1736311819.6389
MEM 1415.382812 1736311819.7391
MEM 1415.632812 1736311819.8394
MEM 1430.507812 1736311819.9397
MEM 1430.507812 1736311820.0401
MEM 1430.507812 1736311820.1405
MEM 1430.632812 1736311820.2408
MEM 1430.632812 1736311820.3411
MEM 1712.257812 1736311820.4421
MEM 1828.757812 1736311820.5427
MEM 2337.882812 1736311820.6439
MEM 2509.023438 1736311820.7443
MEM 1876.281250 1736311820.8455
MEM 2633.781250 1736311820.9474
MEM 2685.628906 1736311821.0478
MEM 1431.785156 1736311821.1481
MEM 1431.785156 1736311821.2485
MEM 1447.660156 1736311821.3488
MEM 1464.160156 1736311821.4490
MEM 1465.285156 1736311821.5493
MEM 1468.285156 1736311821.6497
MEM 1483.285156 1736311821.7502
MEM 1483.285156 1736311821.8507
MEM 1483.285156 1736311821.9511
MEM 1483.285156 1736311822.0513
MEM 1483.285156 1736311822.1516
MEM 1484.410156 1736311822.2519
MEM 1881.535156 1736311822.3542
MEM 1980.785156 1736311822.4556
MEM 2334.613281 1736311822.5560
MEM 2018.792969 1736311822.6572
MEM 2302.699219 1736311822.7587
MEM 2959.824219 1736311822.8601
MEM 1639.664062 1736311822.9605
MEM 1484.703125 1736311823.0609
MEM 1500.578125 1736311823.1612
MEM 1501.578125 1736311823.2615
MEM 1517.828125 1736311823.3618
MEM 1521.453125 1736311823.4621
MEM 1536.328125 1736311823.5624
MEM 1536.453125 1736311823.6628
MEM 1536.453125 1736311823.7631
MEM 1536.453125 1736311823.8635
MEM 1536.453125 1736311823.9640
MEM 1536.453125 1736311824.0645
MEM 1537.578125 1736311824.1650
MEM 1825.328125 1736311824.2665
MEM 1934.453125 1736311824.3688
MEM 2065.703125 1736311824.4707
MEM 2665.453125 1736311824.5724
MEM 2682.531250 1736311824.6728
MEM 2029.609375 1736311824.7751
MEM 2028.289062 1736311824.8757
MEM 2331.140625 1736311824.9767
MEM 2871.390625 1736311825.0780
MEM 2822.175781 1736311825.1785
MEM 1816.421875 1736311825.2792
MEM 1537.460938 1736311825.3798
MEM 1537.460938 1736311825.4803
MEM 1553.335938 1736311825.5807
MEM 1553.960938 1736311825.6811
MEM 1570.335938 1736311825.7814
MEM 1571.460938 1736311825.8828
MEM 1574.335938 1736311825.9837
MEM 1574.460938 1736311826.0843
MEM 1589.335938 1736311826.1850
MEM 1589.335938 1736311826.2854
MEM 1589.335938 1736311826.3858
MEM 1589.335938 1736311826.4862
MEM 1589.335938 1736311826.5866
MEM 1589.335938 1736311826.6870
MEM 1660.585938 1736311826.7886
MEM 1987.335938 1736311826.8913
MEM 1987.335938 1736311826.9936
MEM 2472.710938 1736311827.0953
MEM 2445.246094 1736311827.1971
MEM 2270.500000 1736311827.2976
MEM 2232.648438 1736311827.3981
MEM 2412.843750 1736311827.4994
MEM 2994.093750 1736311827.6014
MEM 2478.167969 1736311827.7019
MEM 1590.394531 1736311827.8025
MEM 1590.394531 1736311827.9028
MEM 1607.894531 1736311828.0031
MEM 1607.894531 1736311828.1034
MEM 1624.644531 1736311828.2037
MEM 1625.519531 1736311828.3041
MEM 1627.519531 1736311828.4044
MEM 1642.519531 1736311828.5047
MEM 1642.519531 1736311828.6051
MEM 1642.519531 1736311828.7057
MEM 1642.519531 1736311828.8061
